x  Base_CNN
2000  0.9387138233054074
4000  0.9631925932977913
6000  0.9710229436405179
8000  0.9740337014470678
10000  0.9754379284082254
12000  0.9772824638233054
14000  0.9779250761614623
16000  0.9774966679360244
18000  0.9778060738766184
20000  0.9789127951256664
22000  0.9785319878141661
24000  0.9789484958111195
26000  0.9786747905559787
28000  0.9788294935262757
30000  0.9784843869002284
32000  0.978900894897182
34000  0.9791031987814166
36000  0.9791984006092918
38000  0.978067878903275
40000  0.9788889946686976
42000  0.9788294935262757
44000  0.9785200875856817
46000  0.977639470677837
48000  0.977175361766946
50000  0.9774133663366337
