x  Att_CNN3
100  0.8529613018035889
200  0.6847931146621704
300  0.4129830300807953
400  0.25580400228500366
500  0.3866040110588074
600  0.3180926442146301
700  0.47755393385887146
800  0.5697291493415833
900  0.4003811478614807
1000  0.15651610493659973
1100  0.20057526230812073
1200  0.25337669253349304
1300  0.26319336891174316
1400  0.5677114129066467
1500  0.2770938277244568
1600  0.1011742502450943
1700  0.1576736867427826
1800  0.1546257883310318
1900  0.309670090675354
2000  0.2613571286201477
2100  0.2039933204650879
2200  0.34650951623916626
2300  0.2397674024105072
2400  0.12351788580417633
2500  0.1477109044790268
2600  0.0406179279088974
2700  0.07983694225549698
2800  0.30999755859375
2900  0.2097957730293274
3000  0.2704927921295166
3100  0.19812145829200745
3200  0.3003540635108948
3300  0.0893966481089592
3400  0.14620724320411682
3500  0.021737854927778244
3600  0.04984481632709503
3700  0.08755069971084595
3800  0.08201175183057785
3900  0.16819819808006287
4000  0.07422516494989395
4100  0.4115263521671295
4200  0.1573096513748169
4300  0.18094900250434875
4400  0.06038310378789902
4500  0.05337495356798172
4600  0.35038894414901733
4700  0.0963008925318718
4800  0.03657185286283493
4900  0.14021329581737518
5000  0.17670993506908417
5100  0.07107244431972504
5200  0.08178722858428955
5300  0.36835092306137085
5400  0.15295132994651794
5500  0.0107660423964262
5600  0.08718764781951904
5700  0.055564265698194504
5800  0.05055245757102966
5900  0.104857437312603
6000  0.23956231772899628
6100  0.21318595111370087
6200  0.11658816039562225
6300  0.09149926900863647
6400  0.15024280548095703
6500  0.15224026143550873
6600  0.09537750482559204
6700  0.08729615062475204
6800  0.16088926792144775
6900  0.16227369010448456
7000  0.11450579762458801
7100  0.1941894292831421
7200  0.029668083414435387
7300  0.07322808355093002
7400  0.007903884164988995
7500  0.04113176837563515
7600  0.022977348417043686
7700  0.06103091314435005
7800  0.3221491277217865
7900  0.11021716892719269
8000  0.046963710337877274
8100  0.03865877166390419
8200  0.09586212038993835
8300  0.24386391043663025
8400  0.08220848441123962
8500  0.054026372730731964
